Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
3052,1998-076A,,Russian Federation,1998-12-24,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e354.html,T,------,,------,,,,1010.0,966.0,82.93,104.86,25590,PAY,-,2.091,
1999/06B?,1998-074B,IRIDIUM 89 (20A),China,1998-12-19,Motorola Iridium system used for telecomumnication service.,decayed,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,2018-10-22,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,193.0,113.0,86.39,87.54,25578,PAY,D,2.9545,2018-10-22
1999/06A?,1998-074A,,China,1998-12-19,Motorola Iridium system used for telecomumnication service.,decayed,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,2018-10-22,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,162.0,104.0,86.59,87.14,25577,PAY,D,3.6949,2018-10-22
3051,1998-072A,COSPAS 8,Russian Federation,1998-12-10,The space object is intended for determination of the position of Russian Federation shipping at all points on all oceans and for assignments as part of the COSPAS-SARSAT system,in orbit,/osoindex/data/documents/ru/st/stsgser.e354.html,T,------,,Part of COSPAS/SARSAT rescue system. COSPAS-SARSAT LEO segment.,http://www.cospas-sarsat.org/space/space_status.html,,,1010.0,974.0,82.95,104.95,25567,PAY,-,1.9257,
RA 4,1998-069B,,Argentina,1998-12-04,Technology,decayed,/osoindex/data/documents/ar/st/stsgser.e351.html,T,------,1999-10-25,------,,,,125.0,123.0,51.56,86.96,25550,PAY,D,0.3947,1999-10-25
3050,1998-062C,,Russian Federation,1998-11-10,"Working model of the first artificial Earth satellite, produced by Russian and French schoolchildren",decayed,/osoindex/data/documents/ru/st/stsgser.e354.html,T,------,1999-01-11,------,,,,154.0,149.0,51.63,87.51,25533,PAY,D,0.175,1999-01-11
3049,1998-062A,,Russian Federation,1998-10-25,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e354.html,T,------,1999-02-05,------,,,,367.0,344.0,51.65,91.65,25512,PAY,D,17.41,1999-02-05
3048,1998-054A,,Russian Federation,1998-09-29,Operation of long-range telephone and telegraph radio communications system and transmission of television programmes to stations in the Orbita network,in orbit,/osoindex/data/documents/ru/st/stsgser.e354.html,T,------,,Date of launch is 28/09/1998 using Greenwich Mean Time (GMT).,,,,33455.0,1390.0,64.61,609.03,25485,PAY,,15.4313,
1999/05A?,1998-048B,,China,1998-08-20,Motorola Iridium system used for telecommunication service.,decayed,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,2018-08-28,National designator provided in ST/SG/SER.E/359.,,,,167.0,116.0,86.75,87.31,25432,PAY,D,3.416,2018-08-28
1999/05B?,1998-048A,,China,1998-08-20,Motorola Iridium system used for telecommunication service.,decayed,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,2018-02-08,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,185.0,117.0,86.36,87.51,25431,PAY,D,3.3611,2018-02-08
3047,1998-047A,,Russian Federation,1998-08-13,"Delivery to the Mir manned orbital station of a crew consisting of the cosmonauts Gennady Padalka, Sergei Avdeev and Yuri Baturin",recovered,/osoindex/data/documents/ru/st/stsgser.e350.html,T,------,1999-02-28,------,,,,363.0,346.0,51.66,91.63,25429,PAY,D,31.0,1999-02-28
3046,1998-045A,,Russian Federation,1998-07-28,This space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e350.html,T,------,,------,,,,857.0,845.0,70.75,101.95,25406,PAY,,5.6602,
2005/52,1998-044A,,China,1998-07-18,Broadcasting and communication satellite,in GSO,/osoindex/data/documents/cn/st/stsgser.e475.html,T,+110.5 degrees East,,------,http://www.sinosatcom.com/sat/sino.htm,,,36136.0,36046.0,10.58,1451.68,25404,PAY,-,25.1188,
3045,1998-043A,,Russian Federation,1998-07-10,"Investigation of the Earth's natural resources and environment, environmental monitoring, hydrometeorological coverage, investigation of the Earth's radiation balance, and solar and geophysical observation",in orbit,/osoindex/data/documents/ru/st/stsgser.e350.html,T,------,,------,http://www.scanex.ru/stations/resurs.htm,,,809.0,808.0,98.92,101.05,25394,PAY,,6.8102,
AUST/DIST/98-1,1998-043E,,Australia,1998-07-10,Laser ranging,in orbit,/osoindex/data/documents/au/st/stsgser.e348.html,T,------,,------,http://www.auslig.gov.au/geodesy/slr/wpltn/westpac.htm,,,817.0,814.0,98.99,101.19,25398,PAY,+,0.165,
D-R013,1998-043F,,Germany,1998-07-10,Satellite for bi-directional data communications at low-bit rates,in orbit,/osoindex/data/documents/de/st/stsgser.e456.html,T,------,,Mentioned by Russian Federation in ST/SG/SER.E/350,,,,807.0,806.0,98.96,101.01,25399,PAY,-,0.378,
FASAT-B,1998-043B,,Chile,1998-07-10,"Scientific experiment satellite which will carry on board, as the main payload, sensors for monitoring the ozone layer. Remote sensing.",in orbit,/osoindex/data/documents/cl/st/stsgser.e342.html,T,------,,In ST/SG/SER.E/660 noted that space object is inactive.,,,,805.0,802.0,98.95,100.95,25395,PAY,,0.4202,
D-R010,1998-042A,,Germany,1998-07-07,Experimental satellite for mobile communication,decayed,/osoindex/data/documents/de/st/stsgser.e345.html,T,------,2002-04-22,First submarine launched satellite,,,,137.0,128.0,78.84,87.13,25389,PAY,D,0.3006,2002-04-23
D-R011,1998-042B,,Germany,1998-07-07,Experimental satellite for mobile communication,decayed,/osoindex/data/documents/de/st/stsgser.e345.html,T,------,2000-10-21,------,,,,155.0,147.0,78.86,87.51,25390,PAY,D,0.4765,2000-10-21
3044,1998-040A,,Russian Federation,1998-07-01,"Operation of long-range telephone and telegraph radiocommunications system, transmission of television programmes to points on the Orbita network and international cooperation",decayed,/osoindex/data/documents/ru/st/stsgser.e350.html,T,------,2011-02-02,------,,,,590.0,83.0,63.07,91.26,25379,PAY,D,6.3095,2011-02-02
3043,1998-039A,,Russian Federation,1998-06-25,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,1999-08-31,------,,,,234.0,212.0,64.85,88.96,25376,PAY,D,19.4081,1999-07-12
3042,1998-038A,,Russian Federation,1998-06-24,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,recovered,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,1998-10-22,------,,,,311.0,168.0,67.09,89.3,25373,PAY,D,16.2463,1998-10-22
3036,1998-036A,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1872.0,1312.0,82.59,118.02,25363,PAY,,1.0538,
3040,1998-036E,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1866.0,1298.0,82.58,117.8,25367,PAY,,0.9382,
3038,1998-036C,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1870.0,1308.0,82.58,117.95,25365,PAY,,0.955,
3037,1998-036B,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1868.0,1301.0,82.59,117.85,25364,PAY,,0.9217,
3039,1998-036D,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1866.0,1303.0,82.59,117.86,25366,PAY,,0.931,
3041,1998-036F,,Russian Federation,1998-06-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,Date of launch is 16/06/1998 using Greenwich Mean Time (GMT).,,,,1862.0,1294.0,82.59,117.71,25368,PAY,,0.9716,
3035,1998-031A,,Russian Federation,1998-05-15,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,1998-10-29,Date of launch is 14/05/1998 using Greenwich Mean Time (GMT).,,,,367.0,354.0,51.66,91.75,25340,PAY,D,12.7371,1998-10-29
3034,1998-027A,,Russian Federation,1998-05-07,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e347.html,T,------,,------,,,,39132.0,1266.0,63.6,718.65,25327,PAY,,6.3095,
1999/04B?,1998-026B,,China,1998-05-02,Motorola Iridium system used for telecommunication service.,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,756.0,753.0,86.4,99.91,25320,PAY,-,3.7318,
1999/04A?,1998-026A,,China,1998-05-02,Motorola Iridium system used for telecommunication service.,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,757.0,752.0,86.4,99.92,25319,PAY,-,3.5842,
3033,1998-025A,,Russian Federation,1998-04-29,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e343.html,T,"+80, +70.4 degrees East",,------,,,,35812.0,35758.0,13.89,1436.02,25315,PAY,-,5.0,
1999/03A?,1998-018A,,China,1998-03-25,Motorola Iridium system used for telecommunication service,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,412.0,349.0,86.37,92.16,25262,PAY,-,3.151,
1999/03B?,1998-018B,,China,1998-03-25,Motorola Iridium system used for telecommunication service,decayed,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,2019-07-23,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,161.0,118.0,86.4,87.28,25263,PAY,D,3.8157,2019-07-23
3032,1998-015A,,Russian Federation,1998-03-15,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e343.html,T,------,1998-05-15,Date of launch is 14/03/1998 using Greenwich Mean Time (GMT).,,,,379.0,372.0,51.66,92.06,25256,PAY,D,12.8376,1998-05-15
1998-2A,1998-013A,,France (for Eutelsat),1998-02-27,Telecommunications satellite,in GSO,/osoindex/data/documents/fr/st/stsgser.e445.html,T,-007 degrees East,,Registered by France on behalf of Eutelsat. Originally registered with ST/SG/SER.E/346. ,http://www.eutelsat.com/satellites/13ehb4.html,,,36385.0,36327.0,10.67,1465.27,25237,PAY,-,24.5191,
3031,1998-009A,,Russian Federation,1998-02-17,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,recovered,/osoindex/data/documents/ru/st/stsgser.e343.html,T,------,1998-04-02,------,,,,327.0,212.0,70.36,89.89,25167,PAY,D,10.4546,1998-04-03
-----,1998-006B,INMARSAT 3 F-5,(for Inmarsat),1998-02-04,------,in GSO,,F,+305.8 degrees East,,Not registered with the United Nations. United Kingdom notified the UN that it is not the State of Registry for this space object. Comparable information to registration data provided in ST/SG/SER.E/417/Rev.1. Reported as orbital position at +306 degrees East in A/AC.105/1118. Reported as orbital position at 054.2 degrees West in A/AC.105/1118/Add.1.,http://www.inmarsat.com/about_inm_satellite.cfm,,,35806.85,35764.31,9.28,1436.05,25153,PAY,+,14.5,
3030,1998-004A,,Russian Federation,1998-01-29,"Delivery to the Mir orbital station of an international crew consisting of the cosmonauts Talgat Musabayev, Nikolai Budarin and the French citizen, Leopold Eyharts",recovered,/osoindex/data/documents/ru/st/stsgser.e343.html,T,------,1998-08-25,------,,,,373.0,363.0,51.66,91.91,25146,PAY,D,,1998-08-25
3029,1997-081A,,Russian Federation,1997-12-20,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1998-03-15,------,,,,403.0,363.0,51.79,92.22,25102,PAY,D,9.2972,1998-03-15
3028,1997-058D,,Russian Federation,1997-12-17,Circling and external inspection of the Progress M-36 vessel and the Mir orbital station,decayed,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1998-11-01,------,,,,151.0,142.0,51.63,87.42,25100,PAY,D,0.3428,1998-11-01
3027,1997-080A,,Russian Federation,1997-12-16,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,recovered,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1998-04-14,Date of launch is 15/12/1997 using Greenwich Mean Time (GMT).,,,,322.0,163.0,67.11,89.35,25095,PAY,D,27.6701,1998-04-14
3026,1997-079A,,Russian Federation,1997-12-09,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1999-12-01,------,,,,169.0,129.0,64.97,87.46,25088,PAY,D,22.6723,1999-12-12
1999/02B?,1997-077B,,China,1997-12-08,Motorola Iridium system used for telecommunication service,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,759.0,755.0,86.4,99.97,25078,PAY,-,3.3446,
1999/02A?,1997-077A,,China,1997-12-08,Motorola Iridium system used for telecommunication service,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,771.0,769.0,86.4,100.24,25077,PAY,-,3.2961,
D-R012,1997-075B,,Germany,1997-12-02,"Provide high-resolution plasma, magnetic, and electric field measurements in the interplanetary region, in particular the low latitude dayside magnetopause and its boundary layer, the equatorial ring current region, and the near-Earth equatorial plasma sheet",in orbit,/osoindex/data/documents/de/st/stsgser.e456.html,T,------,,------,http://www.mpe-garching.mpg.de/EQS/eqs_home.html,,,66864.0,747.0,5.83,1336.1,25068,PAY,,1.2589,
3025,1997-072A,,Russian Federation,1997-11-18,Investigation of the Earth's natural resources and study of the environment and ecological situation,recovered,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1997-12-13,------,,,,238.0,211.0,82.33,88.99,25059,PAY,D,6.157,1997-12-13
97-71A,1997-071A,,Sweden,1997-11-12,Non-functional,in GSO,/osoindex/data/documents/se/st/stsgser.e336.html,T,+4.8 degrees East,,Declared non-functional by Sweden in ST/SG/SER.E/564.,,,,36050.0,36016.0,11.69,1448.69,25049,PAY,-,31.6228,
3024,1997-070A,,Russian Federation,1997-11-12,This satellite is designed to serve subscribers to the Bankir interurban and international fixed communications system,in GSO,/osoindex/data/documents/ru/st/stsgser.e340.html,T,+55 degrees East,,------,,,,35801.0,35753.0,14.57,1435.59,25045,PAY,,0.7943,
3023,1997-058C,,Russian Federation,1997-11-03,"This is a working model of the first artificial Earth satellite launched into orbit, to honour the fortieth anniversary of its launching",decayed,/osoindex/data/documents/ru/st/stsgser.e340.html,T,------,1998-05-21,------,,,,135.0,131.0,51.62,87.14,24958,PAY,D,0.102,1998-05-21
3022,1997-060A,,Russian Federation,1997-10-09,"Research in the field of space technology and biotechnology. Concurrently with the Russian programme onboard the space object, experiments have been conducted on behalf of ESA and CNES of France",recovered,/osoindex/data/documents/ru/st/stsgser.e332.html,T,------,1997-10-23,------,http://www.estec.esa.nl/spaceflight/foton/fformer.htm,,,363.0,218.0,62.81,90.33,25006,PAY,D,10.3,1997-10-23
3021,1997-058A,,Russian Federation,1997-10-05,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e332.html,T,------,1997-12-19,------,,,,390.0,378.0,51.66,92.23,25002,PAY,D,16.7789,1997-12-19
IRS -1D,1997-057A,,India,1997-09-29,Operational remote sensing satellite for natural resources management,in orbit,/osoindex/data/documents/in/st/stsgser.e328.html,T,------,,------,http://www.isro.org/programmes.htm,,,812.0,736.0,98.83,100.32,24971,PAY,-,3.912,
3020,1997-054A,,Russian Federation,1997-09-25,Operation of the long-range telephone and telegraph radio communications systems and transmission of television programmes to points on the Orbita network,in orbit,/osoindex/data/documents/ru/st/stsgser.e332.html,T,------,,Date of launch is 24/09/1997 using Greenwich Mean Time (GMT).,,,,24728.0,1527.0,64.39,451.85,24960,PAY,,12.6191,
3019,1997-052A,,Russian Federation,1997-09-23,This space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e332.html,T,------,,------,,,,994.0,935.0,82.92,104.36,24953,PAY,,2.0088,
1999/01B?,1997-048B,,China,1997-09-01,General purpose: none. Two Mass & Frequency Simulators (MFS') of Motorola Iridium,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,611.0,604.0,86.33,96.84,24926,PAY,-,1.336,
1996/01A?,1997-048A,,China,1997-09-01,General purpose: none. Two Mass & Frequency Simulators (MFS') of Motorola Iridium,in orbit,/osoindex/data/documents/cn/st/stsgser.e356.html,T,------,,National designator provided in ST/SG/SER.E/359.,http://www.iridium.com/,,,610.0,603.0,86.33,96.83,24925,PAY,-,1.356,
3018,1997-041A,,Russian Federation,1997-08-15,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in GSO,/osoindex/data/documents/ru/st/stsgser.e327.html,T,"-24, +96.8 degrees East",,Date of launch is 14/08/1997 using Greenwich Mean Time (GMT).,,,,36479.0,35082.0,14.39,1435.79,24894,PAY,,5.0119,
3017,1997-038A,,Russian Federation,1997-08-05,Transport of a crew consisting of the cosmonauts Anatoly Solovyev and Pavel Vinogradov to the Mir manned orbital station,recovered,/osoindex/data/documents/ru/st/stsgser.e327.html,T,------,1998-02-19,------,,,,385.0,378.0,51.66,92.18,24886,PAY,D,,1998-02-19
3016,1997-033A,,Russian Federation,1997-07-05,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e327.html,T,------,1997-10-07,------,,,,391.0,383.0,51.66,92.29,24851,PAY,D,12.1608,1997-10-07
2005/51,1997-029A,,China,1997-06-10,Meteorological satellite,in GSO,/osoindex/data/documents/cn/st/stsgser.e475.html,T,"+10, +86.1 degrees East",,Reported a ceased operations 2 March 2000 in reference sources.,http://www.eumetsat.de/,,,37472.0,36553.0,15.56,1499.19,24834,PAY,-,20.0,
3015,1997-028A,,Russian Federation,1997-06-06,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e327.html,T,------,,------,,,,3045.0,1197.0,63.3,129.97,24827,PAY,,19.731,
3014,1997-024A,,Russian Federation,1997-05-15,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e327.html,T,------,1997-09-18,------,,,,224.0,183.0,64.72,88.57,24805,PAY,D,29.4087,1997-09-18
3013,1997-022A,,Russian Federation,1997-05-14,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e327.html,T,------,,------,,,,37862.0,2674.0,67.53,721.46,24800,PAY,,7.895,
2005/50,1997-021A,,China,1997-05-12,Communication satellite,in GSO,/osoindex/data/documents/cn/st/stsgser.e475.html,T,+124.9 degrees East,,Date of launch 11/05/1997 using GMT,,,,35794.0,35753.0,13.35,1435.41,24798,PAY,,12.5892,
ESP 005,1997-018A,,Spain,1997-04-21,"Scientific research, astrophysical, microgravity research, technology demonstration",decayed,/osoindex/data/documents/es/st/stsgser.e326.html,T,------,2002-02-26,------,,,,183.0,183.0,150.93,88.15,24779,PAY,D,2.5005,2002-02-26
3012,1997-017A,,Russian Federation,1997-04-17,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation.,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1014.0,974.0,82.92,104.99,24772,PAY,,2.1331,
3011,1997-015A,,Russian Federation,1997-04-09,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,37383.0,2969.0,65.29,717.73,24761,PAY,,6.8485,
3010,1997-014A,,Russian Federation,1997-04-06,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,1997-07-02,------,,,,393.0,375.0,51.66,92.23,24757,PAY,D,51.4154,1997-07-02
3009,1997-010A,,Russian Federation,1997-03-04,Apparatus on the Zeya space object is designed to permit operation of radio amateur communications and also to determine the orbital parameters of this space object by means of the GLONASS and NAVSTAR navigational systems,decayed,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,1999-10-25,------,,,,154.0,145.0,97.19,87.48,24744,PAY,D,0.8111,1999-10-25
3004,1997-006B,,Russian Federation,1997-02-14,The satellite from the Gonets series is designed to operate as part of the new low-orbit satellite communications system being set up under Russia's Federal Space Programme,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1422.0,1413.0,82.6,114.16,24726,PAY,-,0.9371,
3005,1997-006C,,Russian Federation,1997-02-14,The satellite from the Gonets series is designed to operate as part of the new low-orbit satellite communications system being set up under Russia's Federal Space Programme,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1414.0,1412.0,82.61,114.07,24727,PAY,-,1.0597,
3003,1997-006A,,Russian Federation,1997-02-14,The satellite from the Gonets series is designed to operate as part of the new low-orbit satellite communications system being set up under Russia's Federal Space Programme,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1427.0,1413.0,82.61,114.22,24725,PAY,-,0.965,
3006,1997-006D,,Russian Federation,1997-02-14,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1412.0,1402.0,82.61,113.93,24728,PAY,-,0.864,
3007,1997-006E,,Russian Federation,1997-02-14,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1413.0,1408.0,82.6,114.02,24729,PAY,-,0.84,
3008,1997-006F,,Russian Federation,1997-02-14,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,,------,,,,1415.0,1410.0,82.61,114.06,24730,PAY,-,0.8438,
3002,1997-003A,,Russian Federation,1997-02-10,"Transport to the Mir manned orbital station of an international crew consisting of the cosmonauts Vasily Tsibliev and Aleksandr Lazutkin and astronaut Rainhold Ewald (research scientist, citizen of the Federal Republic of Germany)",recovered,/osoindex/data/documents/ru/st/stsgser.e325.html,T,------,1997-08-14,------,,,,392.0,385.0,51.65,92.33,24717,PAY,D,,1997-08-15
RA3,1997-002B,,Argentina,1997-01-30,Telecommunications,in GSO,/osoindex/data/documents/ar/st/stsgser.e323.html,T,-71.8 degrees East,,------,,,,36075.0,35999.0,12.22,1448.92,24714,PAY,,18.6243,
3001,1996-073A,,Russian Federation,1996-12-24,"Investigation of the effects of weightlessness and other aspects of spaceflight on living organisms in the interests of basic and applied research...Specialists from Russia, the United States, France, Ukraine and Lithuania are involved in the join study",recovered,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,1997-01-07,------,,,,372.0,217.0,62.8,90.41,24701,PAY,D,23.0577,1997-01-07
3000,1996-071A,,Russian Federation,1996-12-20,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,,------,,,,1012.0,975.0,82.94,104.98,24677,PAY,,2.158,
2999,1996-069A,,Russian Federation,1996-12-11,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,decayed,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,1999-01-01,------,,,,118.0,107.0,65.01,86.73,24670,PAY,D,23.8053,1999-01-01
1996-9,1996-067A,,France (for Eutelsat),1996-11-21,Telecommunications satellite,in disposal/graveyard orbit,/osoindex/data/documents/fr/st/stsgser.e445.html,T,+009 degrees East,,Notification of move to graveyard orbit in ST/SG/SER.E/844. Originally registered in ST/SG/SER.E/321. ,http://www.eutelsat.com/satellites/13ehb2.html,,,36360.0,36289.0,11.63,1463.67,24665,PAY,-,0.003,
2298,1996-066A,,Russian Federation,1996-11-20,Delivery to the Mir manned orbital station of consumables and various cargoes,deorbited,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,1997-03-12,Date of launch is 19/11/1996 using Greenwich Mean Time (GMT).,,,,387.0,361.0,51.65,92.03,24663,PAY,D,6.3,1997-03-12
D-R017,1996-065B,,Germany,1996-11-19,"With ORFEUS it was for the first time possible to acquire high-resolution spectra of white dwarfs, the interstellar matter and a large number of other astronomical objects in the UV range. The results are used to extend our understanding of the nature of",recovered,/osoindex/data/documents/de/st/stsgser.e396.html,T,------,1996-12-07,------,,,,359.0,346.0,28.47,91.59,24661,PAY,D,8.7299,1996-12-07
2297,1996-064A,,Russian Federation,1996-11-16,"Global study of the surface of Mars...Transfer...to flight path to Mars did not take place...entered the dense layers of the atmosphere and broke up, with individual fragments falling into the water areas of the Pacific ocean (see reg document for full te",decayed,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,1996-11-18,Notification of NPS in A/AC.105/647 & 648.,,,,122.0,114.0,51.5,86.85,24656,R/B,D,,1996-11-18
RA2,1996-061A,,"Argentina, USA",1996-11-05,Scientific Applications Satellite. Hard and soft solar X-ray observation; Detection of background non-solar X-ray levels; Detection of neutral particles in orbital altitudes; and Technological demonstration,decayed,/osoindex/data/documents/ar/st/stsgser.e317.html,T,------,2002-04-07,Registered also by USA as non-functional object in ST/SG/SER.E/322.,http://www.conae.gov.ar/sac-prueba.html,,,154.0,115.0,37.93,87.18,24645,PAY,D,3.9961,2002-04-07
2996,1996-060A,,Russian Federation,1996-10-24,"Operation of the long-range telephone and telegraph radio communications system, transmission of television programmes to points on the Orbita network and international cooperation",decayed,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,2007-10-18,------,,,,241.0,73.0,63.35,87.62,24640,PAY,D,17.2612,2007-10-18
2295,1996-058A,,Russian Federation,1996-09-26,"Long-distance, zonal and local telephone-telegraph communications, the relay of radio and television programmes, the transmission of data in the interests of various branches and ministries of the RF and the expansion of international communications",in GSO,/osoindex/data/documents/ru/st/stsgser.e320.html,T,"+80, +103 degrees East",,------,http://www.intersputnik.com/express.shtml,,,35812.0,35732.0,14.59,1435.33,24435,PAY,-,10.0,
2294,1996-052A,,Russian Federation,1996-09-05,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,,------,,,,1009.0,963.0,82.93,104.82,24304,PAY,,1.979,
2293,1996-051A,,Russian Federation,1996-09-04,The space object is intended for assignments on behalf of the Ministry of Defence of the Russian Federation,in orbit,/osoindex/data/documents/ru/st/stsgser.e320.html,T,------,,------,,,,865.0,828.0,70.91,101.85,24297,PAY,,5.389,
