Registration Number,International Designator,Object Name,Country of Origin,Date of Launch,Function,Status,Registration Document,UN Registered,GSO Location,Date of Decay or Change,Secretariat Remarks,External Website,Launch Vehicle,Place of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),NORAD_CAT_ID,SATCAT_OBJECT_TYPE,SATCAT_OPS_STATUS,SATCAT_RCS,SATCAT_DECAY_DATE
ROLEU.ESP.15,2018-020A,,Spain,2018-02-22,"Provision of Earth observation images for maritime surveillance applications, mapping, defence and security, risks and emergencies, land use planning, civil engineering and environmental monitoring through the capture of images 24 hours a day regardless of atmospheric conditions, day or night",in orbit,/osoindex/data/documents/es/st/stsgser.e955.html,T,,,------,,,,510.0,507.0,97.44,94.79,43215,PAY,+,,
3489-2018-002,2018-019A,,Russian Federation,2018-02-13,"Delivery to the International Space Station of fuel, water, oxygen, air, food, scientific equipment and other consumable materials required for the crew, scientific experiments and operation of the Station",deorbited,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,2018-08-30,------,,,,401.0,346.0,51.64,92.02,43211,PAY,D,,2018-08-30
2018-015D,2018-015D,,Uruguay,2018-02-02,Commercial Earth observation,in orbit,/osoindex/data/documents/uy/st/stsgser.e843.html,T,,,------,,,,149.0,138.0,97.55,87.36,43195,PAY,D,,2024-01-04
2018-015K,2018-015K,,Uruguay,2018-02-02,Commercial Earth observation,decayed,/osoindex/data/documents/uy/st/stsgser.e843.html,T,,2023-12-24,------,,,,150.0,135.0,97.56,87.33,43204,PAY,D,,2023-12-24
2018-DK-02,2018-015E,,Denmark,2018-02-02,"GOMX-4B is a 6U satellite operating in tandem operation with another 6U satellite, Ulloriaq. GOMX-4B is equipped with an Automatic Dependent Surveillance Broadcast (ADS-B) payload, a star-tracker, a propulsion module, a Radiation Hardness Assurance board and a hyper-spectral camera. The purpose of the tandem operation is to demonstrate inter-satellite linking and station-keeping capabilities (satellite separation and orbit control) through GOMX-4B’s propulsion system.",decayed,/osoindex/data/documents/dk/st/stsgser.e840.html,T,,2024-10-09,------,,,,163.0,150.0,97.57,87.62,43196,PAY,D,,2024-10-09
2018-DK-01,2018-015F,GOMX4 A,Denmark,2018-02-02,"Ulloriaq is a 6U satellite operating in tandem with another 6U satellite, GOMX-4B. Ulloriaq is equipped with an Automatic Identification System (AIS) payload, Automatic Dependent Surveillance Broadcast (ADS-B) payload, an X-band receiver and a visual camera. The Ulloriaq demonstration is part of an analysis seeking to identify best-practice and future efforts to reinforcing Danish Defence’s surveillance of the Artic within Denmark.",decayed,/osoindex/data/documents/dk/st/stsgser.e840.html,T,,2024-08-18,------,,,,297.0,291.0,97.59,90.4,43197,PAY,D,,2024-08-18
ZH 1,2018-015C,ZHANGZHENG 1,China,2018-02-02,Scientific research,in orbit,/osoindex/data/documents/cn/st/stsgser.e856.html,T,,,------,,,,515.0,491.0,97.67,94.68,43194,PAY,+,,
3488-2018-001,2018-014B,,Russian Federation,2018-02-01,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,,------,,,,496.0,494.0,97.37,94.51,43181,PAY,+,,
3487-2018-001,2018-014A,,Russian Federation,2018-02-01,Earth remote sensing,in orbit,/osoindex/data/documents/ru/st/stsgser.e842.html,T,,,------,,,,496.0,494.0,97.37,94.51,43180,PAY,+,,
D-R060,2018-014G,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,528.0,518.0,97.55,95.09,43186,PAY,+,,
D-R058,2018-014H,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,528.0,518.0,97.55,95.09,43187,PAY,+,,
D-R059,2018-014K,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,529.0,517.0,97.55,95.09,43189,PAY,+,,
D-R057,2018-014J,,Germany,2018-02-01,"Satellite for technology demonstration of intersatellite communication capability in S-band frequency
using nanosatellites",in orbit,/osoindex/data/documents/de/st/stsgser.e867.html,T,,,Mentioned by the Russian Federation in ST/SG/SER.E/842.,,,,528.0,518.0,97.55,95.09,43188,PAY,+,,
D-R062,2018-014*,,Germany,2018-02-01,Planned function was the qualification of novel hardware as well as amateur radio services,decayed,/osoindex/data/documents/de/st/stsgser.e894.html,T,,2018-02-01,"The State of registry notes that the separation of the satellite from the container could not be confirmed; satellite might have been stuck in the separation container. Only two short signals received. Reentry not confirmed, exact date and time of reentry uncertain; most likely reentry on the day of launch (01.02.2018) in ST/SG/SER.E/894. International Designator not assigned. Mentioned by the Russian Federation in ST/SG/SER.E/842. National designator provided in ST/SG/SER.E/907.",,,,,,,,,,,,
NZ-2018-001,2018-010F,,New Zealand,2018-01-21,Science/Art,decayed,/osoindex/data/documents/nz/st/stsgser.e866.html,T,,2018-03-22,------ ,http://www.thehumanitystar.com,,,179.0,172.0,82.89,88.0,43168,PAY,D,,2018-03-22
2018-007A,2018-007A,,Japan,2018-01-17,Earth observation satellite,in orbit,/osoindex/data/documents/jp/st/stsgser.e846.html,T,,,------,,,,500.0,497.0,97.4,94.58,43152,PAY,+,,
