Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
2016-028A,(JCSAT 2B),,,2016-05-06,,,,,Satellite telecommunications,Japan
3455-2016-006,SAMSAT 218D,,,2016-04-28,,,,,Technological applications,Russian Federation
16027,,,,2016-04-28,,,,,Navigation satellite of the IRNSS series,India
3453-2016-006,MIKHAILO LOMONOSOV (MVL 300),,,2016-04-28,,,,,Scientific and educational applications,Russian Federation
3454-2016-006,,,,2016-04-28,,,,,"Scientific, educational and technological applications",Russian Federation
2016-B-SC-004,,,,2016-04-25,,,,,Testing and demonstration of Digital Smart Technologies for Amateur Radio (D-STAR) radio relay subsystems,Belgium
2016-DK-01,AAUSAT 4,,,2016-04-25,,,,,Student satellite demonstrator. AAUSAT4 is a modernized replica of AAUSAT3. The mission is one of three CubeSats flown in the Fly Your Satellite! programme of ESA. Two-way communication and control were achieved. Damage of the antennas has prohibited the AIS payload to work correctly and communication to the ground has been difficult.,Denmark
3452-2016-005,,,,2016-03-31,,,,,"Delivery to the International Space Station of scientific equipment, fuel, water, oxygen, air, food and other expendable materials required for the crew, scientific experiments and operation of the Station",Russian Federation
3451-2016-004,,,,2016-03-24,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,Russian Federation
3450-2016-003,,,,2016-03-19,,,,,"Delivery to the International Space Station of the crew of Expeditions 47 and 48, consisting of Aleksey Ovchinin, commander (Russian Federation), and flight engineers Oleg Skripochka (Russian Federation) and Jeffrey Williams (United States of America)",Russian Federation
3449-2016-002,Resurs P3,,,2016-03-13,,,,,Earth remote sensing,Russian Federation
16015,,,,2016-03-10,,,,,Navigation satellite of the IRNSS series,India
41380,,,,2016-03-04,,,,,SES-9 will carry a variety of commercial telecommunications traffic. It will provide capacity over Asia-Pacific and South Asia.,United Kingdom
2016-012C,,,,2016-02-17,,,,,ChubuSat 3 is a demonstration satellite for optical remote-sensing of the Earth ,Japan
2016-012D,,,,2016-02-17,,,,,"The main mission of Horyu IV is to generate high voltage to bias in dedicated solar cells and acquire the resulting discharge current-voltage (I-V) curve as well as the discharge image. In addition to the main mission, there are eight other sub-missions mounted on the satellite.",Japan
2016-012A,,,,2016-02-17,,,,,"Hitomi (ASTRO-H) is an X-ray astronomy satellite for exploring energetic processes in the universe. It carries four telescopes and six detectors to collect data on soft X-rays, hard X-rays and gamma rays. ",Japan
3448-2016-001,(GLONASS),,,2016-02-07,,,,,Work on the Global Navigation Satellite System (GLONASS),Russian Federation
KWANGMYONGSONG-4,,,,2016-02-07,,,,,Earth observation,Democratic People's Republic of Korea
16003,,,,2016-01-20,,,,,Navigation satellite of the IRNSS series,India
2,,,,2016-01-15,,,,,Commercial geostationary telecommunications satellite,Belarus
3447-2015-021,EXPRESS AMU1 (EUTELSAT 36C),,,2015-12-24,,,,,"Telecommunications. The satellite
was placed in geostationary orbit on
30 December 2015 using its own
propulsion system, with the following
parameters: apogee: 35,787 km;
perigee: 35,780 km; inclination:
0.1 degrees; period: 23 hours
56 minutes",Russian Federation
3446-2015-020,,,,2015-12-21,,,,,"Delivery to the International Space
Station of scientific equipment, fuel,
water, oxygen, air, food and other
expendable materials required for
  operation of the Station",Russian Federation
3445-2015-019,,,,2015-12-15,,,,,"Delivery to the International Space
Station of the crew of Expeditions 46
and 47, consisting of Yury
Malenchenko (Russian Federation),
commander, and flight engineers
Timothy Kopra (United States of
America) and Timothy Peake (United
Kingdom of Great Britain and
Northern Ireland)",Russian Federation
3444-2015-018,,,,2015-12-13,,,,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation  ,Russian Federation
3443-2015-017,,,,2015-12-11,,,,,Hydrometeorological satellite,Russian Federation
