Registration Number,Object Name,Launch Vehicle,Place of Launch,Date of Launch,Apogee (km),Perigee (km),Inclination (degrees),Period (minutes),Function,Country of Origin
2302,,,,1987-06-23,,,,,Location of vessels in the Soviet merchant marine and shipping fleet anywhere at sea; facilitation of amateur radio communications and conduct of experiments for scientific and educational purposes,USSR
2301,,,,1987-06-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2299,,,,1987-06-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2296,,,,1987-06-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2300,,,,1987-06-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2292,,,,1987-06-12,,,,,Investigation of the upper atmosphere and outer space,USSR
2291,,,,1987-06-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2290,,,,1987-06-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2289,,,,1987-05-28,,,,,Investigation of the upper atmosphere and outer space,USSR
2288,,,,1987-05-26,,,,,Investigation of the upper atmosphere and outer space,USSR
2287,RESURS F,,,1987-05-21,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2286,,,,1987-05-19,,,,,Transporting sundry cargo to the Mir orbital station,USSR
2285,,,,1987-05-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2284,,,,1987-05-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2283,,,,1987-05-11,,,,,Telephone and telegraph radio communications and television broadcasting,USSR
2282,,,,1987-05-05,,,,,Investigation of the upper atmosphere and outer space,USSR
2281,,,,1987-04-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2280,FOTON,,,1987-04-24,,,,,Conduct of experiments on the production of semi-conducting materials and super-pure biological preparations in micro-gravity,USSR
2279,GLONASS,,,1987-04-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2277,GLONASS,,,1987-04-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2278,GLONASS,,,1987-04-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2276,,,,1987-04-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2275,,,,1987-04-21,,,,,Transporting sundry cargo to the Mir orbital station,USSR
2274,,,,1987-04-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2273,,,,1987-04-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2272,,,,1987-04-08,,,,,Investigation of the upper atmosphere and outer space,USSR
2271,,,,1987-03-31,,,,,Extra-atmospheric astronomic research and resolution of a number of problems with scientific and economic applications,USSR
2270,,,,1987-03-19,,,,,Provision of radio telephone and telegraph communications and transmission of television programmes,USSR
2269,,,,1987-03-18,,,,,Investigation of the upper atmosphere and outer space,USSR
2266,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2265,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2264,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2263,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2268,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2267,GONETS,,,1987-03-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2262,,,,1987-03-11,,,,,Investigation of the upper atmosphere and outer space,USSR
2260,,,,1987-03-03,,,,,Transporting sundry cargo to the Mir orbital station,USSR
2261,,,,1987-03-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2259,,,,1987-02-26,,,,,Investigation of the upper atmosphere and outer space,USSR
2258,,,,1987-02-20,,,,,Investigation of the upper atmosphere and outer space,USSR
2257,,,,1987-02-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2256,,,,1987-02-18,,,,,Investigation of the upper atmosphere and outer space,USSR
2255,,,,1987-02-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2254,,,,1987-02-07,,,,,Investigation of the upper atmosphere and outer space,USSR
2253,,,,1987-02-06,,,,,Transport of a crew consisting of Ship's Commander Y.V. Romanenko and Flight Engineer A.I. Laveikin to the orbital station to conduct scientific and technical research and experiments,USSR
2252,,,,1987-02-01,,,,,Investigation of the upper atmosphere and outer space,USSR
2251,,,,1987-01-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2250,,,,1987-01-29,,,,,Investigation of the upper atmosphere and outer space,USSR
2249,,,,1987-01-22,,,,,"Operation of the long-range telephone and telegraph communications system, transmission of USSR Central Television programmes to stations in the Orbita network",USSR
2248,,,,1987-01-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2247,,,,1987-01-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2246,,,,1987-01-16,,,,,Transport of sundry cargo to Mir orbital station,USSR
2245,,,,1987-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2244,,,,1987-01-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2243,,,,1987-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2242,,,,1987-01-05,,,,,Provision of round-the-clock meteorological information and data on penetrating radiation fluxes in circumterrestrial space,USSR
2240,,,,1986-12-26,,,,,Investigation of the upper atmosphere and outer space,USSR
2241,,,,1986-12-26,,,,,Operation of the long-range telephone and telegraph communications system and transmission of USSR Central Television programmes to stations in the Orbita network,USSR
2239,,,,1986-12-18,,,,,"Development of research apparatus and methods of remote sensing and monitoring of Earth's ionosphere, and also study of the propagation of radio-waves in the ionosphere",USSR
2238,,,,1986-12-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2237,,,,1986-12-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2236,,,,1986-12-12,,,,,Investigation of the upper atmosphere and outer space,USSR
2235,,,,1986-12-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2234,,,,1986-12-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2233,,,,1986-12-02,,,,,Investigation of the upper atmosphere and outer space,USSR
2232,,,,1986-11-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2231,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2224,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2226,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2225,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2227,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2228,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2229,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2230,,,,1986-11-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2223,,,,1986-11-20,,,,,Investigation of the upper atmosphere and outer space,USSR
2222,,,,1986-11-18,,,,,Telephone and telegraph radio communications and television broadcasting,USSR
2221,,,,1986-11-16,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2220,,,,1986-11-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2219,TSIKADA,,,1986-11-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2218,,,,1986-11-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2217,RESURS F,,,1986-10-31,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2216,,,,1986-10-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2215,,,,1986-10-25,,,,,Provision of radio telephone and telegraph communications and transmission of television programmes,USSR
2214,,,,1986-10-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2213,,,,1986-10-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2212,,,,1986-10-20,,,,,"Operation of the long-range telephone and telegraph radio communication system, transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation",USSR
2211,,,,1986-10-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2210,,,,1986-10-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2209,,,,1986-10-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2208,,,,1986-09-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2207,,,,1986-09-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2206,GLONASS,,,1986-09-16,,,,,Testing of components and apparatus of the space navigation system being set up to determine the position of civil aircraft and vessels in the Soviet marine and fishing fleet,USSR
2205,GLONASS,,,1986-09-16,,,,,Testing of components and apparatus of the space navigation system being set up to determine the position of civil aircraft and vessels in the Soviet marine and fishing fleet,USSR
2204,GLONASS,,,1986-09-16,,,,,Testing of components and apparatus of the space navigation system being set up to determine the position of civil aircraft and vessels in the Soviet marine and fishing fleet,USSR
2203,,,,1986-09-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2202,,,,1986-09-05,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2201,,,,1986-09-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2200,,,,1986-09-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2199,,,,1986-08-28,,,,,Investigation of the upper atmosphere and outer space,USSR
2198,,,,1986-08-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2197,,,,1986-08-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2196,,,,1986-08-20,,,,,Investigation of the upper atmosphere and outer space,USSR
2195,,,,1986-08-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2194,,,,1986-08-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2193,RESURS F,,,1986-08-02,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2192,,,,1986-07-30,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2191,,,,1986-07-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2190,OKEAN,,,1986-07-28,,,,,Acqusition of operational oceanographic information in the interests of various branches of the national economy of the USSR and international co-operation (see reg. document for full text),USSR
2189,,,,1986-07-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2188,,,,1986-07-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2187,,,,1986-07-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2186,RESURS F,,,1986-07-10,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2185,,,,1986-07-05,,,,,Investigation of the upper atmosphere and outer space,USSR
2183,,,,1986-06-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2184,,,,1986-06-19,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2182,,,,1986-06-18,,,,,Investigation of the upper atmosphere and outer space,USSR
2181,,,,1986-06-12,,,,,Investigation of the upper atmosphere and outer space,USSR
2180,RESURS F3,,,1986-06-11,,,,,Investigation of the natural resources of the earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2179,,,,1986-06-10,,,,,Telephone and telegraph radio communications and television broadcasting,USSR
2178,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2177,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2170,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2176,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2171,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2174,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2175,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2172,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2173,,,,1986-06-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2169,,,,1986-05-29,,,,,Investigation of the upper atmosphere and outer space,USSR
2168,RESURS F,,,1986-05-28,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2167,,,,1986-05-27,,,,,Gathering meteorological information and data on penetrating radiation fluxes in circumterrestial space,USSR
2166,,,,1986-05-24,,,,,Transmission of USSR Central Television programmes to a network of receivers for collective use,USSR
2165,,,,1986-05-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2164,FOTON,,,1986-05-21,,,,,Continuation of research on materials science in space,USSR
2163,,,,1986-05-21,,,,,Comprehensive experimental testing of spacecraft in independent flight and jointly with Mir orbital station,USSR
2162,,,,1986-05-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2161,,,,1986-05-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2160,,,,1986-04-23,,,,,Transportation of sundry cargo to Mir Space Station,USSR
2159,,,,1986-04-18,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2158,,,,1986-04-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2157,,,,1986-04-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2156,,,,1986-04-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2155,,,,1986-04-04,,,,,Investigation of outer space; experimental relaying of telephone and telegraph information in the centimetre wavelength range,USSR
2154,,,,1986-03-25,,,,,Investigation of the upper atmosphere and outer space,USSR
2153,,,,1986-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2152,,,,1986-03-19,,,,,Transportation of sundry cargo to Mir Space Station,USSR
2151,,,,1986-03-13,,,,,Transporting a crew comprising ship's commander l. D. Kizim and flight engineer V. A. Solovyev to the MIR orbital station to conduct scientific and technical studies and experiments,USSR
2150,,,,1986-02-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2149,,,,1986-02-26,,,,,Investigation of the upper atmosphere and outer space,USSR
1986-1.B,,,,1986-02-22,,,,,Earth observation satellite,France
2148,,,,1986-02-20,,,,,Investigation of the upper atmosphere and outer space,USSR
2147,,,,1986-02-20,,,,,Orbital scientific station for conducting studies and experiments in the interest of science and the national economy,USSR
2146,,,,1986-02-11,,,,,Investigation of the upper atmosphere and outer space,USSR
2145,,,,1986-02-07,,,,,Investigation of the upper atmosphere and outer space,USSR
2144,,,,1986-02-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2143,,,,1986-02-01,,,,,Investigation of the upper atmosphere and outer space,USSR
2005/32,,,,1986-02-01,,,,,Communication satellite,China
2142,,,,1986-01-28,,,,,Investigation of the upper atmosphere and outer space,USSR
2141,,,,1986-01-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2140,,,,1986-01-17,,,,,Radio telephone and telegraph communications and transmission of television programmes,USSR
2139,,,,1986-01-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2138,,,,1986-01-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2137,,,,1986-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2132,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2131,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2130,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2129,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2136,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2133,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2134,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2135,,,,1986-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2128,,,,1986-01-08,,,,,Investigation of the upper atmosphere and outer space,USSR
2127,,,,1985-12-28,,,,,Investigation of the upper atmosphere and outer space,USSR
2126,,,,1985-12-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2125,,,,1985-12-26,,,,,Gathering of meteorological information and data on penetrating radiation fluxes in circumterrestrial space,USSR
2123,GLONASS,,,1985-12-24,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2122,GLONASS,,,1985-12-24,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2121,,,,1985-12-24,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2124,GLONASS,,,1985-12-24,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2120,,,,1985-12-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2119,RESURS F,,,1985-12-13,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2118,,,,1985-12-12,,,,,Investigation of the upper atmosphere and outer space,USSR
2117,,,,1985-12-11,,,,,Investigation of the upper atmosphere and outer space,USSR
2116,,,,1985-12-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2115,,,,1985-11-28,,,,,Investigation of the upper atmosphere and outer space,USSR
2114,,,,1985-11-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2113,,,,1985-11-15,,,,,Provision of telephone and telegraph radio communications and television broadcasting,USSR
2112,,,,1985-11-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2111,,,,1985-11-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2110,,,,1985-10-28,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network,USSR
2109,LUCH,,,1985-10-25,,,,,Continuation of the investigation of outer space; experimental retransmission of telephone and telegraph data in the centimetre band,USSR
2108,,,,1985-10-25,,,,,Investigation of the upper atmosphere and outer space,USSR
2107,METEOR 3-1,,,1985-10-24,,,,,"Further improvement of the meteorological system using artificial earth satellites, including development of informational and measurement apparatus and remote sensing methods",USSR
2106,,,,1985-10-23,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network,USSR
2104,,,,1985-10-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2105,,,,1985-10-22,,,,,Investigation of the upper atmosphere and outer space,USSR
2005/31,,,,1985-10-21,,,,,Recoverable scientific experiment satellite,China
2103,,,,1985-10-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2097,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2098,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2099,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2100,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2101,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2102,,,,1985-10-10,,,,,Investigation of the upper atmosphere and outer space,USSR
2096A,,,,1985-10-03,,,,,Operation of the long-range telephone and telegraph communication system and transmission of USSR Central Television programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2096,RESURS 01-1,,,1985-10-03,,,,,Acquisition of operational information on the natural resources of the earth in the interest of various branches of the national economy of the USSR; (see reg. document for full text),USSR
2095,,,,1985-10-02,,,,,Investigation of the upper atmosphere and outer space,USSR
2094,,,,1985-09-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2093,,,,1985-09-27,,,,,"Testing the equipment, assemblies and design components of a satellite in various modes of flight, including joint flight with the Salyut-7 station",USSR
2092,,,,1985-09-26,,,,,Investigation of the upper atmosphere and outer space,USSR
2091,,,,1985-09-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2090,,,,1985-09-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2089,,,,1985-09-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2088,,,,1985-09-17,,,,,"Transporting a crew comprising ship's commander V.V. Vasyutin, flight engineer G.M. Grechko and cosmonaut-researcher A.A. Volkov to the SALYUT-7 orbital station to conduct scientific and technical studies and experiments",USSR
2087,RESURS F,,,1985-09-06,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2086,,,,1985-09-04,,,,,Investigation of the upper atmosphere and outer space,USSR
2085,,,,1985-08-29,,,,,Investigation of the upper atmosphere and outer space,USSR
2084,RESURS F,,,1985-08-29,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2083,,,,1985-08-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2082,,,,1985-08-22,,,,,Operation of long-range telephone and telegraph radio communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network,USSR
2081,,,,1985-08-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2080,,,,1985-08-12,,,,,Investigation of the upper atmosphere and outer space,USSR
2079,,,,1985-08-09,,,,,Provision of telephone and telegraph radio communications and television broadcasting,USSR
2077,,,,1985-08-08,,,,,Investigation of the upper atmosphere and outer space,USSR
2078,,,,1985-08-08,,,,,Investigation of the upper atmosphere and outer space,USSR
2076,RESURS F,,,1985-08-07,,,,,Investigation of the natural resources of the earth in the interest of various branches of the national economy of the USSR and international cooperation,USSR
2075,,,,1985-08-02,,,,,Investigation of the upper atmosphere and outer space,USSR
2074,,,,1985-08-01,,,,,Investigation of the upper atmosphere and outer space,USSR
2073,,,,1985-07-19,,,,,"Transporting sundry cargo to the Salyut-7 orbital station
",USSR
2072,,,,1985-07-17,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2071,,,,1985-07-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2070,BION 7,,,1985-07-10,,,,,Continued investigation of the influence of spaceflight factors on living organisms and radiation physics research,USSR
2069,,,,1985-07-08,,,,,Investigation of the upper atmosphere and outer space,USSR
2068,,,,1985-07-03,,,,,Investigation of the upper atmosphere and outer space,USSR
ESA/85/02,,,,1985-07-02,,,,,GIOTTO is a scientific spacecraft carrying more than 10 experiments with the objective to investigate Halley's Comet. (see reg. document for full text),ESA
2067,,,,1985-06-26,,,,,Investigation of the upper atmosphere and outer space,USSR
2066,RESURS F,,,1985-06-21,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2065,,,,1985-06-21,,,,,"Delivery to the SALYUT-7 orbital station of a mixed cargo with a total mass of 2,000 kg
",USSR
2064,,,,1985-06-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2063,,,,1985-06-18,,,,,Investigation of the upper atmosphere and outer space,USSR
2062,,,,1985-06-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2061,,,,1985-06-13,,,,,Investigation of the upper atmosphere and outer space,USSR
2060,,,,1985-06-11,,,,,Investigation of the upper atmosphere and outer space,USSR
2059,RESURS F,,,1985-06-07,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2058,,,,1985-06-06,,,,,Delivery to the SALYUT-7 orbital station of a crew consisting of flight commander V.A. Dzhanibekov and V.P. Savinykh to carry out routine preventative maintenance and scientific and technical research and experiments,USSR
2057,,,,1985-05-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2056,,,,1985-05-30,,,,,Investigation of the upper atmosphere and outer space,USSR
2055,,,,1985-05-29,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2054,,,,1985-05-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2053,RESURS F,,,1985-05-22,,,,,Investigations of the natural resources of the Earth in the interests of various branches of the national economy of the USSR and international cooperation,USSR
2052,GLONASS,,,1985-05-17,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2051,GLONASS,,,1985-05-17,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2050,GLONASS,,,1985-05-17,,,,,Testing of components and apparatus from the space navigation system being set up to determine the position of Soviet civil aircraft and vessels in the Soviet merchant marine and fishing fleet,USSR
2049,,,,1985-05-15,,,,,Investigation of the upper atmosphere and outer space,USSR
1985-2.B,,,,1985-05-08,,,,,Communications satellite,France
2048,,,,1985-04-26,,,,,Investigation of the structure of interplanetary and circumterrestrial shock-waves generated by the inter-action of the solar wind and the earths magnetosphere,USSR (for Intercosmos)
2047,,,,1985-04-25,,,,,Investigation of the upper atmosphere and outer space,USSR
2046,,,,1985-04-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2045,,,,1985-04-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2044,FOTON,,,1985-04-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2043,,,,1985-04-03,,,,,Investigation of the upper atmosphere and outer space,USSR
2042,,,,1985-03-25,,,,,Investigation of the upper atmosphere and outer space,USSR
2041,,,,1985-03-22,,,,,Transmission of USSR Central Television programmes to a collective network of receivers,USSR
2040,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2033,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2039,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2037,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2036,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2035,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2034,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2038,,,,1985-03-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2032,,,,1985-03-14,,,,,Investigation of the upper atmosphere and outer space,USSR
2031,,,,1985-03-05,,,,,Investigation of the upper atmosphere and outer space,USSR
2030,,,,1985-03-01,,,,,Investigation of the upper atmosphere and outer space,USSR
2029,,,,1985-02-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2028,,,,1985-02-27,,,,,Investigation of the upper atmosphere and outer space,USSR
2027,,,,1985-02-21,,,,,Investigation of the upper atmosphere and outer space,USSR
2025,,,,1985-02-06,,,,,Investigation of the upper atmosphere and outer space,USSR
2026,METEOR 2-12,,,1985-02-06,,,,,Gathering of meteorological information and data on penetrating radiation fluxes in circumterrestial space,USSR
2024,,,,1985-02-01,,,,,Investigation of the upper atmosphere and outer space,USSR
2023,,,,1985-01-24,,,,,Investigation of the upper atmosphere and outer space,USSR
2022,,,,1985-01-23,,,,,Investigation of the upper atmosphere and outer space,USSR
2021,GORIZONT 11,,,1985-01-18,,,,,Radio telephone and telegraph communications and transmission of television programmes,USSR
2020,,,,1985-01-17,,,,,Investigation of the upper atmosphere and outer space,USSR
2018,,,,1985-01-16,,,,,Operation of long-range telephone and telegraph communications system and transmission of USSR Central Televisions programmes to stations in the Orbita network and in the framework of international co-operation,USSR
2019,,,,1985-01-16,,,,,Investigation of the upper atmosphere and outer space,USSR
2017,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2012,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2013,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2016,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2014,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2015,,,,1985-01-15,,,,,Investigation of the upper atmosphere and outer space,USSR
2011,,,,1985-01-09,,,,,Investigation of the upper atmosphere and outer space,USSR
2010,,,,1984-12-21,,,,,Investigations of the planet Venus and Halleys Comet,USSR
2009,,,,1984-12-20,,,,,Investigation of the upper atmosphere and outer space,USSR
2008,BOR,,,1984-12-19,,,,,Investigation of the upper atmosphere and outer space,USSR
2007,,,,1984-12-15,,,,,Investigations of the planet Venus and Halleys Comet,USSR
2006,,,,1984-12-14,,,,,Operation of long-range telephone and telegraph radio communications system in the USSR and transmission of Central Televisions programmes to stations in the Orbita network,USSR
2005,,,,1984-11-29,,,,,Investigation of the upper atmosphere and outer space,USSR
2004,,,,1984-11-27,,,,,Investigation of the upper atmosphere and outer space,USSR
